cod_matricula,importe_matricula,modalidad,fec_matricula_original,meses_duracion_original,fecha_inicio_reconocimiento_original,fecha_fin_reconocimiento_original,fecha_inicio_producto_original,fecha_fin_producto_original,fecha_inicio_reparto_calculada,fecha_fin_reparto_calculada,origen_fechas_calculadas
CLFC117,190,ONLINE,2025-03-04,4.0,,,,,2025-03-04,2025-03-04,ONLINE: fec_matricula
CLFC118,80,ONLINE,2025-03-04,4.0,,,,,2025-03-04,2025-03-04,ONLINE: fec_matricula
CLFC119,380,PRESENCIAL,2025-03-04,0.0,2025-04-25,2025-04-27,2025-04-25,2025-04-27,2025-04-25,2025-04-27,Reconocimiento
CLFC198,190,ONLINE,2025-03-11,4.0,,,,,2025-03-11,2025-03-11,ONLINE: fec_matricula
CLFC201,250,ONLINE,2025-03-11,4.0,,,,,2025-03-11,2025-03-11,ONLINE: fec_matricula
CLFC202,150,ONLINE,2025-03-11,4.0,,,,,2025-03-11,2025-03-11,ONLINE: fec_matricula
CLFC206,120,ONLINE,2025-03-11,4.0,,,,,2025-03-11,2025-03-11,ONLINE: fec_matricula
CLFC211,665,PRESENCIAL,2025-03-11,0.0,2025-04-26,2025-06-15,2025-04-26,2025-06-15,2025-04-26,2025-06-15,Reconocimiento
CLFC214,250,ONLINE,2025-03-11,4.0,,,,,2025-03-11,2025-03-11,ONLINE: fec_matricula
CLFC221,494,PRESENCIAL,2025-03-11,0.0,2025-04-25,2025-04-27,2025-04-25,2025-04-27,2025-04-25,2025-04-27,Reconocimiento
CLFC235,165,ONLINE,2025-03-12,4.0,,,,,2025-03-12,2025-03-12,ONLINE: fec_matricula
CLFC238,150,ONLINE,2025-03-12,4.0,,,,,2025-03-12,2025-03-12,ONLINE: fec_matricula
CLFC57,150,ONLINE,2025-02-26,4.0,,,,,2025-02-26,2025-02-26,ONLINE: fec_matricula
CLFC80,150,ONLINE,2025-02-27,4.0,,,,,2025-02-27,2025-02-27,ONLINE: fec_matricula
CLFC81,185,ONLINE,2025-02-27,4.0,,,,,2025-02-27,2025-02-27,ONLINE: fec_matricula
CLFC125,190,ONLINE,2025-03-04,4.0,,,,,2025-03-04,2025-03-04,ONLINE: fec_matricula
CLFC137,165,ONLINE,2025-03-05,4.0,,,,,2025-03-05,2025-03-05,ONLINE: fec_matricula
CLFC215,150,ONLINE,2025-03-11,4.0,,,,,2025-03-11,2025-03-11,ONLINE: fec_matricula
CLFC87,355,ONLINE,2025-02-28,4.0,,,,,2025-02-28,2025-02-28,ONLINE: fec_matricula
CLFC90,155,ONLINE,2025-03-01,4.0,,,,,2025-03-01,2025-03-01,ONLINE: fec_matricula
CLFC91,190,ONLINE,2025-03-01,4.0,,,,,2025-03-01,2025-03-01,ONLINE: fec_matricula
CLFC92,110,ONLINE,2025-03-01,4.0,,,,,2025-03-01,2025-03-01,ONLINE: fec_matricula
